company,phone,mobile,email,website,address,google_map_coord,image_link
A Simple Cremation & Burials,+64274468535,+64274468535,scott@asimplecremation.co.nz,www.asimplecremation.co.nz,"233 Carrington Street, New Plymouth, Taranaki, 4310, New Zealand",https://www.google.com/maps/search/?api=1&query=233%20Carrington%20Street%20New%20Plymouth%20Taranaki%204310%20New%20Zealand%20,/assets/Uploads/organisations/Logo-jpg__PadWzIwMCwyMDAsIkZGRiIsMF0.jpg
Academy Funeral Services,(03)343 0919,,info@academyfunerals.co.nz,https://academyfunerals.co.nz/,"65 Main South Road, Upper Riccarton, Christchurch, Canterbury, 8042, New Zealand",https://www.google.com/maps/search/?api=1&query=65%20Main%20South%20Road%20Upper%20Riccarton%20Christchurch%20Canterbury%208042%20New%20Zealand%20,/assets/Uploads/organisations/Academy-Logo__PadWzIwMCwyMDAsIkZGRiIsMF0.png
Affinity Funerals (Alexandra),(03)448 8405,,office@affinityfunerals.co.nz,https://www.affinityfunerals.nz/,"143 Centennial Avenue, Alexandra, Otago, 9320, New Zealand",https://www.google.com/maps/search/?api=1&query=143%20Centennial%20Avenue%20Alexandra%20Otago%209320%20New%20Zealand%20,/assets/Uploads/organisations/Affinity-Logo-v2__PadWzIwMCwyMDAsIkZGRiIsMF0.jpeg
Affinity Funerals (Wanaka),,,,http://www.affinityfunerals.nz/,"Frederick St & Ballantyne Rd, Wanaka, Otago, 9382, New Zealand",https://www.google.com/maps/search/?api=1&query=Frederick%20St%20&%20Ballantyne%20Rd%20Wanaka%20Otago%209382%20New%20Zealand%20,/assets/Uploads/organisations/Affinity-Logo__PadWzIwMCwyMDAsIkZGRiIsMF0.jpeg
Affordable Cremations,(04)569 7072,,,https://croftfunerals.co.nz/,"2 Osborne Place, Lower Hutt, Wellington, New Zealand",https://www.google.com/maps/search/?api=1&query=2%20Osborne%20Place%20%20Lower%20Hutt%20%20Wellington%20New%20Zealand%20,/assets/Uploads/organisations/whitebackground__PadWzIwMCwyMDAsIkZGRiIsMF0.jpg
Affordable Funeral Directors,0800 333 309,,william@funeralsupport.co.nz,https://affordablefunerals.co.nz/,"13-15 Parkway, Wainuiomata, Lower Hutt, Wellington, 5014, New Zealand","https://www.google.com/maps/search/?api=1&query=13-15%20Parkway,%20Wainuiomata%20Lower%20Hutt%20Wellington%205014%20New%20Zealand%20",/assets/Uploads/organisations/Affordable-Logo-v2__PadWzIwMCwyMDAsIkZGRiIsMF0.png
Ana-Maria Funeral Services,07-211 4654021 881 229,,ana@ana-maria.nz,https://www.ana-maria.nz/,"82 Grey Street, Hamilton, Waikato, 3216, New Zealand",https://www.google.com/maps/search/?api=1&query=82%20Grey%20Street%20Hamilton%20Waikato%203216%20New%20Zealand%20,/assets/Uploads/organisations/Ana-Maria-Logo__PadWzIwMCwyMDAsIkZGRiIsMF0.png
Anderson Funeral Services,(06)363 7918,,andersonfunerals@xtra.co.nz,,"73a Main Street, Foxton, Manawatu-Whanganui, 4814, New Zealand",https://www.google.com/maps/search/?api=1&query=73a%20Main%20Street%20Foxton%20Manawatu-Whanganui%204814%20New%20Zealand%20,
Aoraki Funeral Services (Timaru),(03)686 2148,,office@aoraki.kiwi.nz,https://www.aorakifuneralservices.info/,"160 Mountain View Road, Timaru, Canterbury, 7910, New Zealand",https://www.google.com/maps/search/?api=1&query=160%20Mountain%20View%20Road%20Timaru%20Canterbury%207910%20New%20Zealand%20,/assets/Uploads/organisations/Aoraki-v2__PadWzIwMCwyMDAsIkZGRiIsMF0.jpg
Aoraki Funeral Services (Waimate branch),(03)689 7065,,office@aoraki.kiwi.nz,https://www.aorakifuneralhomes.co.nz/,"11 John Street, Waimate, Canterbury, 7924",https://www.google.com/maps/search/?api=1&query=11%20John%20Street%20Waimate%20Canterbury%207924%20,/assets/Uploads/organisations/Aoraki__PadWzIwMCwyMDAsIkZGRiIsMF0.jpg
Auckland Funerals & Memorials,09 250480809 2770718,0211173236,aklfunerals@gmail.com,http://www.chinesefuneralhome.co.nz/,"158 Lake Rd, Belmont, Auckland, Auckland, 0622, New Zealand",https://www.google.com/maps/search/?api=1&query=158%20Lake%20Rd%20%20Belmont%20Auckland%20Auckland%200622%20New%20Zealand%20,/assets/Uploads/organisations/Pacific-Memorials__PadWzIwMCwyMDAsIkZGRiIsMF0.jpg
Avenal Park Funeral Home,0800 033 925,,office@avenalpark.co.nz,http://www.avenalpark.co.nz/,"75 Fox Street, Invercargill, Southland, 9810, New Zealand",https://www.google.com/maps/search/?api=1&query=75%20Fox%20Street%20Invercargill%20Southland%209810%20New%20Zealand%20,/assets/Uploads/organisations/Logo-USE-THIS-ONE__PadWzIwMCwyMDAsIkZGRiIsMF0.JPG
Bay Cremation Care,0800 777 43307 282 7922,,alistair@baycremationcare.kiwi.nz,http://baycremationcare.kiwi.nz/,"143 Thirteenth Avenue, Tauranga, Bay of Plenty, 3144, New Zealand",https://www.google.com/maps/search/?api=1&query=143%20Thirteenth%20Avenue%20Tauranga%20Bay%20of%20Plenty%203144%20New%20Zealand%20,
Beauchamp Funeral Chapel (Feilding),(06)323 3700,,admin@beauchamp.co.nz,https://beauchamp.co.nz/,"280 Kimbolton Road, Feilding, Manawatu-Whanganui, 4702",https://www.google.com/maps/search/?api=1&query=280%20Kimbolton%20Road%20Feilding%20Manawatu-Whanganui%204702%20,/assets/Uploads/organisations/Beauchamp__PadWzIwMCwyMDAsIkZGRiIsMF0.png
Beauchamp Funeral Home and Chapel (Palmerston North),(06)355 1889,,admin@beauchamp.co.nz,https://beauchamp.co.nz/,"167 John F Kennedy Drive, Palmerston North, Manawatu-Whanganui, 4414",https://www.google.com/maps/search/?api=1&query=167%20John%20F%20Kennedy%20Drive%20Palmerston%20North%20Manawatu-Whanganui%204414%20,/assets/Uploads/organisations/Beauchamp-v2__PadWzIwMCwyMDAsIkZGRiIsMF0.png
Beauchamp Funeral Home and Cobham Chapel (Marton),(06)327 7029,,admin@beauchamp.co.nz,https://beauchamp.co.nz/,"18 Morris Street, Marton, Manawatu-Whanganui, 4710, New Zealand",https://www.google.com/maps/search/?api=1&query=18%20Morris%20Street%20Marton%20Manawatu-Whanganui%204710%20New%20Zealand%20,/assets/Uploads/organisations/Beauchamp-v3__PadWzIwMCwyMDAsIkZGRiIsMF0.png
